train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,rollout/success_rate,time/episodes,time/fps,time/total_timesteps
0.001,52.41,4830,-0.12482105000000004,-2.325136184692383,407781,0.10020114481449127,0.96,5610,84,407882
0.001,52.56,4836,-0.045262309999999945,-2.4565930366516113,408300,0.13052713871002197,0.96,5620,84,408401
0.001,52.44,4841,0.13581567000000017,-2.5650665760040283,408787,0.10573238134384155,0.98,5630,84,408888
0.001,53.14,4848,-0.03764773999999981,-1.9578831195831299,409384,0.16546839475631714,0.98,5640,84,409485
0.001,51.25,4853,0.28173425000000013,-1.9582228660583496,409776,0.08675124496221542,0.98,5650,84,409877
0.001,51.57,4860,0.02921466000000013,-2.6011624336242676,410266,0.1808854341506958,0.97,5660,84,410367
0.001,50.15,4865,0.06406734000000001,-2.440678834915161,410749,0.13590550422668457,0.97,5670,84,410850
0.001,49.58,4871,0.024424770000000106,-2.5481860637664795,411192,0.16451947391033173,0.97,5680,84,411293
0.001,48.71,4876,0.31391915,-2.017836332321167,411626,0.13053898513317108,0.98,5690,84,411727
0.001,47.92,4881,0.40819109000000003,-1.9957395792007446,412086,0.1769588589668274,0.98,5700,84,412187
0.001,47.95,4887,0.39225675000000004,-1.9607865810394287,412576,0.10197338461875916,0.98,5710,84,412677
0.001,47.96,4893,0.48400251,-2.318021535873413,413096,0.16337347030639648,0.99,5720,84,413197
0.001,47.92,4899,0.3629509099999999,-1.9188165664672852,413579,0.1409314125776291,0.98,5730,84,413680
0.001,46.96,4904,0.21035415999999998,-2.271641254425049,414080,0.0755901038646698,0.97,5740,84,414181
0.001,47.56,4910,-0.10934221999999993,-1.9198005199432373,414532,0.12398820370435715,0.97,5750,84,414633
0.001,47.62,4917,0.09270318000000007,-2.120842695236206,415028,0.14074115455150604,0.98,5760,84,415129
0.001,48.05,4923,0.27392652,-2.1936166286468506,415554,0.14021733403205872,0.98,5770,84,415655
0.001,50.24,4930,0.10457293000000006,-1.9184370040893555,416216,0.15877747535705566,0.98,5780,84,416317
0.001,52.53,4937,-0.55727144,-2.2674720287323,416879,0.10274658352136612,0.97,5790,84,416980
0.001,53.63,4943,-0.7136800999999999,-1.9088681936264038,417449,0.39665544033050537,0.97,5800,84,417550
0.001,53.44,4948,-0.6506172899999999,-2.029390573501587,417920,0.13994307816028595,0.97,5810,84,418021
0.001,53.35,4954,-0.7969785999999999,-2.1836609840393066,418431,0.09370682388544083,0.96,5820,84,418532
0.001,52.91,4959,-0.4272680899999999,-2.100800037384033,418870,0.24876193702220917,0.97,5830,84,418971
0.001,52.2,4964,-0.23625429999999994,-2.4487760066986084,419300,0.1427219808101654,0.98,5840,84,419401
0.001,52.67,4969,-0.0953243800000001,-2.542182445526123,419799,0.14796367287635803,0.98,5850,84,419900
0.001,53.13,4976,-0.1097574400000001,-2.1694507598876953,420341,0.13605880737304688,0.97,5860,84,420442
0.001,52.77,4981,-0.27628854999999997,-2.3615753650665283,420831,0.13378897309303284,0.97,5870,84,420932
0.001,50.97,4987,0.004547249999999896,-2.0923845767974854,421313,0.10634179413318634,0.97,5880,84,421414
0.001,48.8,4991,0.34068739000000003,-2.728527784347534,421759,0.13474884629249573,0.98,5890,84,421860
0.001,48.31,4997,0.47198942000000005,-2.1607589721679688,422280,0.7464766502380371,0.98,5900,84,422381
0.001,49.54,5004,0.18543623999999997,-2.140413284301758,422874,0.07325109839439392,0.97,5910,84,422975
0.001,48.96,5009,0.14297656000000003,-2.2411422729492188,423327,0.1743539273738861,0.97,5920,84,423428
0.001,50.58,5016,-0.1925410799999998,-1.991748332977295,423928,0.15255498886108398,0.97,5930,84,424029
0.001,52.21,5023,-0.3596607699999999,-1.8197394609451294,424521,0.2052091360092163,0.97,5940,84,424622
0.001,52.18,5030,-0.66857427,-2.3042399883270264,425017,0.17731302976608276,0.96,5950,84,425118
0.001,51.89,5035,-0.45114422,-1.9966583251953125,425530,0.11679232865571976,0.97,5960,84,425631
0.001,53.06,5042,-0.7651720399999998,-2.0635554790496826,426137,0.20951126515865326,0.97,5970,84,426238
0.001,54.26,5049,-0.9667130399999999,-2.4592232704162598,426739,0.3557797074317932,0.96,5980,84,426840
0.001,57.48,5057,-1.11898629,-2.001364231109619,427507,0.12579840421676636,0.96,5990,84,427608
0.001,58.66,5064,-1.5336709400000004,-2.490574836730957,428146,0.07851379364728928,0.96,6000,84,428247
0.001,56.53,5069,-1.0051036500000001,-1.9058116674423218,428527,0.10351866483688354,0.97,6010,84,428628
0.001,57.14,5075,-0.92516834,-1.8238725662231445,429041,0.14371415972709656,0.97,6020,84,429142
0.001,56.13,5080,-0.52327024,-2.226893901824951,429541,0.15181776881217957,0.97,6030,84,429642
0.001,54.86,5087,-0.5239215899999999,-2.734011173248291,430007,0.14464637637138367,0.97,6040,84,430108
0.001,59.19,5097,-0.8467736000000001,-2.334930419921875,430936,0.13357308506965637,0.97,6050,84,431037
0.001,58.34,5102,-0.93403226,-1.971096158027649,431364,0.09361576288938522,0.97,6060,84,431465
0.001,58.49,5108,-0.7744905299999998,-2.3372316360473633,431986,0.10336650907993317,0.96,6070,84,432087
0.001,60.64,5117,-0.99788681,-2.1394519805908203,432803,0.1454286277294159,0.97,6080,84,432904
0.001,59.04,5124,-1.0053274800000003,-1.8744604587554932,433411,0.12130498886108398,0.96,6090,84,433512
0.001,59.24,5131,-0.80084401,-2.349200963973999,434070,0.15035764873027802,0.96,6100,84,434171
0.001,59.94,5136,-1.01496136,-2.1221084594726562,434521,0.12443723529577255,0.96,6110,84,434622
0.001,59.02,5142,-0.7370328999999998,-2.1975502967834473,434943,0.23962756991386414,0.97,6120,84,435044
0.001,57.82,5146,-0.7231966199999996,-2.494147777557373,435323,0.12843093276023865,0.97,6130,84,435424
0.001,57.98,5152,-0.5679734799999998,-2.1094865798950195,435805,0.09767667204141617,0.97,6140,84,435906
0.001,53.19,5157,-0.002072389999999902,-2.260960102081299,436255,0.15620526671409607,0.98,6150,84,436356
0.001,54.38,5163,-0.19679177999999994,-2.2284140586853027,436802,0.1551702618598938,0.98,6160,84,436903
0.001,53.87,5169,-0.12842265999999994,-2.592402219772339,437373,0.30602720379829407,0.98,6170,84,437474
0.001,52.19,5176,-0.05060717999999993,-1.930004358291626,438022,0.19051538407802582,0.98,6180,84,438123
0.001,50.33,5181,0.26506793,-2.312300205230713,438444,0.10604424774646759,0.99,6190,84,438545
0.001,48.29,5186,0.45930612,-2.0088305473327637,438899,0.11794090270996094,0.99,6200,84,439000
0.001,49.87,5192,0.22992839999999995,-2.5304064750671387,439508,0.09715539216995239,0.99,6210,84,439609
0.001,50.32,5198,0.12312563000000006,-2.474109649658203,439975,0.2102356106042862,0.99,6220,84,440076
0.001,51.2,5204,-0.1690408100000001,-2.0411975383758545,440443,0.12309930473566055,0.99,6230,84,440544
