rollout/n_episodes,reward/success_reward,rollout/workspace_violation_rate,train/actor_loss,reward/detour_penalty,rollout/all_expected_path_length_mean,reward/workspace_penalty,rollout/collision_rate,rollout/all_actual_path_length_mean,reward/action_norm_penalty,time/time_elapsed,train/critic_loss,reward/smoothness_penalty,time/total_timesteps,train/learning_rate,reward/distance_penalty,rollout/success_rate,reward/path_efficiency_bonus,reward/path_length_penalty,reward/backtrack_penalty,train/n_updates,reward/progress_reward,reward/direction_penalty,time/fps,time/episodes,rollout/ep_len_mean,rollout/reward_steps,rollout/max_steps_rate,rollout/action_norm_mean,reward/step_penalty,reward/collision_penalty,rollout/ep_rew_mean,rollout/distance_improvement_mean,rollout/success_expected_path_length_mean,rollout/success_actual_path_length_mean,rollout/success_path_efficiency_percent_mean
245,0.750975174073129,0.02040816326530612,-33.88692092895508,0.0,0.3335306056604093,-0.018227552768765264,0.0,0.5422241139273772,0.0,451,30.44920539855957,0.0,330204,0.0003,-1.066593320601433,1.0,0.0,0.0,0.0,26683,0.0,0.0,731,3100,32.14,356603,0.13877551020408163,0.48428752341974407,0.0,0.0,45.418066929999995,0.3007738874797538,0.32931592150871614,0.3910018482213858,87.38299340388511
250,0.7632207190913695,0.02,-40.1751823425293,0.0,0.33462100610136986,-0.01808579903060117,0.0,0.5405838717867737,0.0,454,2.2912821769714355,0.0,332004,0.0003,-1.0713377930327195,1.0,0.0,0.0,0.0,26833,0.0,0.0,731,3150,34.0,359398,0.136,0.48884457293374367,0.0,0.0,43.080227240000006,0.3021054414389655,0.33070773919117397,0.3926418993748411,87.29811026845998
255,0.7777057679844459,0.0196078431372549,-40.76211929321289,0.0,0.3335439743656738,-0.018002448332973285,0.0,0.5364183326811626,0.0,456,20.259397506713867,0.0,333684,0.0003,-1.0738856125282268,1.0,0.0,0.0,0.0,26973,0.0,0.0,731,3200,34.84,361062,0.13333333333333333,0.49249901901551657,0.0,0.0,38.56377284999999,0.30129336023831044,0.32952682827426877,0.39114883173654863,87.275185483162
260,0.7919160067366611,0.019230769230769232,-42.220680236816406,0.0,0.331613465026021,-0.017916651736123553,0.0,0.5318810258305278,0.0,458,25.52701187133789,0.0,335160,0.0003,-1.0741264247110063,1.0,0.0,0.0,0.0,27096,0.0,0.0,730,3250,32.33,362791,0.13076923076923078,0.49553541922503624,0.0,0.0,44.62493751,0.29961333551014274,0.3273465264740303,0.3890974639698429,87.1890387066671
,,,-42.42510986328125,,,,,,,460,7.811594486236572,,336744,0.0003,,1.0,,,,27228,,,730,3300,31.54,,,,,,48.41230016,,,,
265,0.8045854248994269,0.018867924528301886,-46.9478759765625,0.0,0.3332194437114698,-0.01780056249777493,0.0,0.5306861702944174,0.0,463,20.824787139892578,0.0,338184,0.0003,-1.0818317475815857,1.0,0.0,0.0,0.0,27348,0.0,0.0,730,3350,30.34,365157,0.12830188679245283,0.5006651639359913,0.0,0.0,50.00100810000001,0.30145775208706566,0.32932404436962265,0.39085534490893215,87.19872538204905
270,0.8192651439920556,0.018518518518518517,-48.362789154052734,0.0,0.33159058067809655,-0.01773301177471982,0.0,0.5259508704398521,0.0,465,10.473379135131836,0.0,339888,0.0003,-1.0830433965764148,1.0,0.0,0.0,0.0,27490,0.0,0.0,729,3400,29.35,366548,0.1259259259259259,0.5036414307301355,0.0,0.0,54.735503640000005,0.300060002186715,0.32750449448952945,0.3883472200872647,87.27564030912092
275,0.8162839973601028,0.01818181818181818,-46.35252380371094,0.0,0.32993211704221637,-0.01736774462468304,0.0,0.526278392156766,0.0,474,21.144023895263672,0.0,345984,0.0003,-1.068574261086112,0.97,0.0,0.0,0.0,27998,0.0,0.0,728,3450,51.5,374257,0.12727272727272726,0.5027147893262339,0.0,0.0,45.79978866000001,0.29858454917980864,0.32625336558260815,0.3866930345690096,87.27522850979554
,,,-53.805416107177734,,,,,,,491,6.105130195617676,,358308,0.0003,,0.77,,,,29025,,,729,3500,158.24,,,,,,7.77274988,,,,
,,,-56.71918869018555,,,,,,,496,2.0876331329345703,,362280,0.0003,,0.76,,,,29356,,,729,3550,188.34,,,,,,0.6349387500000016,,,,
